region_key,year,season,rainfall_mean,rainfall_sum,rainfall_std,rainfall_min,rainfall_max,lat_first,lon_first
10_75,2015,Kharif,8.643693997494635,267.9545139223337,15.126351465544754,0.0,59.790435791015625,10.75,75.75
10_75,2015,Monsoon,15.352408618345612,1872.9938514381647,20.24859749022295,0.0,92.00851440429688,10.75,75.75
10_75,2015,Rabi,2.686309373498244,569.4975871816278,10.429844640632817,0.0,91.4956283569336,10.75,75.75
10_75,2016,Kharif,1.9462536429205248,60.33386293053627,4.36387824502682,0.0,17.535625457763672,10.75,75.75
10_75,2016,Monsoon,10.046482129175155,1225.670819759369,14.313558792467814,0.0,87.40953826904297,10.75,75.75
10_75,2016,Rabi,1.5210337028117247,323.98017869889736,4.964061176232295,0.0,34.5809326171875,10.75,75.75
10_75,2017,Kharif,8.228632569793731,255.0876096636057,17.625783396293325,0.0,77.69795989990234,10.75,75.75
10_75,2017,Monsoon,16.793447406687697,2048.800583615899,23.876519485080653,0.0,157.9623260498047,10.75,75.75
10_75,2017,Rabi,1.4392474022395205,305.12044927477837,5.92688551083084,0.0,53.95381546020508,10.75,75.75
10_75,2018,Kharif,6.1024736531319155,189.1766832470894,27.72263779090761,0.0,154.6927032470703,10.75,75.75
10_75,2018,Monsoon,18.22873323374107,2223.905454516411,33.258825425830814,0.0,269.5363464355469,10.75,75.75
10_75,2018,Rabi,4.043822932461241,857.2904616817832,17.92292800968721,0.0,158.00189208984375,10.75,75.75
10_75,2019,Kharif,14.232979328401628,441.22235918045044,18.814743256059298,0.0,56.13468933105469,10.75,75.75
10_75,2019,Monsoon,19.451697317669627,2373.1070727556944,28.52084194198403,0.0,133.72193908691406,10.75,75.75
10_75,2019,Rabi,1.3909052902094599,294.8719215244055,6.439369942357361,0.0,51.46712493896485,10.75,75.75
10_75,2020,Kharif,4.391653339949347,136.14125353842974,7.1982324281431636,0.0,20.603660583496097,10.75,75.75
10_75,2020,Monsoon,17.38850836064972,2121.3980199992657,22.498844589373977,0.0,125.60221862792967,10.75,75.75
10_75,2020,Rabi,1.562553486283956,332.8238925784826,6.808516850104023,0.0,57.445289611816406,10.75,75.75
10_75,2021,Kharif,19.11288101538535,592.4993114769459,25.614487787185148,0.0,110.35484313964844,10.75,75.75
10_75,2021,Monsoon,12.430156808163298,1516.4791305959225,19.15221457591811,0.0,90.02010345458984,10.75,75.75
10_75,2021,Rabi,4.892131902347758,1037.1319632977247,15.08490771435197,0.0,138.43890380859375,10.75,75.75
10_75,2022,Kharif,2.9237809988760177,90.63721096515656,6.875639042346486,0.0,31.67963218688965,10.75,75.75
10_75,2022,Monsoon,12.671425671057134,1545.9139318689704,16.8581057349873,0.0,83.54701232910156,10.75,75.75
10_75,2022,Rabi,3.7892237138354554,803.3154273331165,9.617961070919552,0.0,62.425689697265625,10.75,75.75
10_75,2023,Kharif,7.953092002520157,246.54585207812488,16.246422580675265,0.0,62.09707260131836,10.75,75.75
10_75,2023,Monsoon,16.382412866414448,1998.6543697025627,31.115934463367584,0.0,180.3601531982422,10.75,75.75
10_75,2023,Rabi,2.1338535081814833,452.3769437344745,12.414622634741692,0.0,153.89584350585938,10.75,75.75
10_75,2024,Kharif,7.422362459032258,230.09323623,10.019367762960174,0.0,34.949303,10.75,75.75
10_75,2024,Monsoon,13.759953447040983,1678.714320539,20.46232138308621,0.0,158.18954,10.75,75.75
10_75,2024,Rabi,5.0668765478356805,1079.244704689,20.468117353278906,0.0,184.59763,10.75,75.75
10_75,2025,Kharif,9.280786606790324,287.7043848105,18.620386740235247,0.0,74.83208,10.75,75.75
10_75,2025,Monsoon,17.495314901122132,2134.4284179369,21.417340847323512,0.0,116.414246,10.75,75.75
10_75,2025,Rabi,5.099885626761905,1070.97598162,16.217864408340052,0.0,123.095604,10.75,75.75
10_75,2026,Rabi,0.0,0.0,0.0,0.0,0.0,10.75,75.75
10_76,2015,Kharif,7.082627776169008,219.56146106123924,7.43491651236742,0.0,24.569184683263302,10.375,76.375
10_76,2015,Monsoon,11.370943272722977,1387.2550792722031,12.319937925228615,0.0,66.9192031621933,10.375,76.375
10_76,2015,Rabi,3.4821847973211297,738.2231770320795,7.26415521603692,0.0,62.11143612861633,10.375,76.375
10_76,2016,Kharif,3.6252910158927403,112.38402149267495,8.895604293074934,0.0,38.69811969995499,10.375,76.375
10_76,2016,Monsoon,9.79489478708596,1194.9771640244871,9.618424101270488,0.0,37.47262501716614,10.375,76.375
10_76,2016,Rabi,1.7886691609279475,380.98653127765283,4.227295084510226,0.0,26.818250089883804,10.375,76.375
10_76,2017,Kharif,5.848468812302716,181.3025331813842,5.994699610602762,0.0,21.763533249497414,10.375,76.375
10_76,2017,Monsoon,13.559635767717007,1654.2755636614747,14.14443380145478,0.0,72.61695528030396,10.375,76.375
10_76,2017,Rabi,2.1268065649124286,450.8829917614348,4.32525033492971,0.0,32.143813729286194,10.375,76.375
10_76,2018,Kharif,9.29396669958688,288.1129676871933,11.119429077706968,0.0,43.78182530403137,10.375,76.375
10_76,2018,Monsoon,19.67003700363862,2399.7445144439116,26.79473065886168,0.0,183.77476501464844,10.375,76.375
10_76,2018,Rabi,3.062355728828752,649.2194145116955,6.346052791757291,0.0,40.60256880521774,10.375,76.375
10_76,2019,Kharif,14.588554599427528,452.24519258225337,13.343427328026458,0.1618392989039421,56.82648181915283,10.375,76.375
10_76,2019,Monsoon,18.55839680255864,2264.124409912154,26.432552516349183,0.0,222.10068035125732,10.375,76.375
