zn,fe,cu,mn,b,s,district_name,zn_adequate,fe_adequate,cu_adequate,mn_adequate,b_adequate,s_adequate,soil_quality_index
99.85,99.9,99.97,95.47,0.08,99.92,Sonitpur,1,1,1,1,0,1,0.8333333333333334
98.55,99.96,100.0,99.71,0.04,99.96,South Salmara Mancachar,1,1,1,1,0,1,0.8333333333333334
99.93,99.9,99.97,89.28,0.77,99.9,Tinsukia,1,1,1,1,0,1,0.8333333333333334
85.04,99.95,99.88,99.12,2.42,98.74,Udalguri,1,1,1,1,0,1,0.8333333333333334
87.7,89.78,90.04,89.83,0.02,35.91,Araria,1,1,1,1,0,0,0.6666666666666666
69.61,77.58,78.21,77.69,0.12,3.92,Arwal,1,1,1,1,0,0,0.6666666666666666
98.48,98.59,99.0,98.54,0.43,0.37,Aurangabad,1,1,1,1,0,0,0.6666666666666666
0.09,0.12,0.12,0.09,0.15,0.03,Banka,0,0,0,0,0,0,0.0
86.9,86.13,87.39,87.07,0.03,23.12,Begusarai,1,1,1,1,0,0,0.6666666666666666
0.15,0.0,0.17,0.16,0.16,0.16,Bhagalpur,0,0,0,0,0,0,0.0
95.72,93.84,99.26,97.19,1.79,2.25,Bhojpur,1,1,1,1,0,0,0.6666666666666666
0.0,0.04,0.07,0.07,0.07,0.07,Buxar,0,0,0,0,0,0,0.0
96.83,97.1,98.13,95.52,2.8,19.4,Darbhanga,1,1,1,1,0,0,0.6666666666666666
99.71,99.51,99.75,99.65,2.28,2.86,Gaya,1,1,1,1,0,0,0.6666666666666666
58.95,94.74,100.0,96.84,64.21,84.21,Gopalganj,1,1,1,1,1,1,1.0
95.22,88.07,99.28,98.27,0.85,0.21,Jamui,1,1,1,1,0,0,0.6666666666666666
91.22,97.13,99.18,96.17,2.68,0.03,Jehanabad,1,1,1,1,0,0,0.6666666666666666
50.0,50.0,100.0,100.0,0.0,50.0,Kaimur (Bhabua),1,1,1,1,0,1,0.8333333333333334
94.15,92.85,94.45,94.0,0.3,5.18,Katihar,1,1,1,1,0,0,0.6666666666666666
34.38,32.81,96.88,35.09,91.07,39.29,Khagaria,0,0,1,0,1,0,0.3333333333333333
69.11,99.59,95.93,83.27,54.07,11.79,Kishanganj,1,1,1,1,1,0,0.8333333333333334
3.04,4.22,6.39,6.94,3.12,7.04,Lakhisarai,0,0,0,0,0,0,0.0
26.42,53.34,55.18,53.72,0.12,8.44,Madhepura,0,1,1,1,0,0,0.5
96.86,92.36,98.37,94.68,7.96,14.22,Madhubani,1,1,1,1,0,0,0.6666666666666666
6.43,5.85,6.45,6.43,0.03,0.03,Munger,0,0,0,0,0,0,0.0
83.3,95.18,99.34,92.08,0.15,0.21,Muzaffarpur,1,1,1,1,0,0,0.6666666666666666
17.52,23.06,31.45,18.84,6.11,24.58,Nalanda,0,0,0,0,0,0,0.0
97.25,98.45,99.66,99.38,0.41,0.52,Nawada,1,1,1,1,0,0,0.6666666666666666
66.0,80.76,81.41,72.56,0.37,0.16,Pashchim Champaran,1,1,1,1,0,0,0.6666666666666666
83.1,87.06,94.84,85.05,4.08,5.63,Patna,1,1,1,1,0,0,0.6666666666666666
7.11,8.13,8.91,7.72,0.54,6.46,Purbi Champaran,0,0,0,0,0,0,0.0
35.58,97.87,98.07,83.59,0.84,0.63,Purnia,0,1,1,1,0,0,0.5
1.05,2.19,2.34,2.2,1.86,1.62,Rohtas,0,0,0,0,0,0,0.0
0.13,0.32,0.34,0.28,0.18,5.96,Saharsa,0,0,0,0,0,0,0.0
3.67,4.28,4.34,4.26,2.23,24.84,Samastipur,0,0,0,0,0,0,0.0
93.31,94.77,98.84,99.71,74.13,94.19,Saran,1,1,1,1,1,1,1.0
0.25,0.27,0.5,0.43,0.21,0.14,Sheikhpura,0,0,0,0,0,0,0.0
0.11,0.23,0.0,0.11,0.23,0.11,Sheohar,0,0,0,0,0,0,0.0
98.35,99.85,99.9,99.9,0.83,0.93,Sitamarhi,1,1,1,1,0,0,0.6666666666666666
34.69,53.06,97.96,63.83,57.14,91.84,Siwan,0,1,1,1,1,1,0.8333333333333334
53.92,49.26,98.28,61.1,67.89,88.48,Supaul,1,0,1,1,1,1,0.8333333333333334
0.11,0.12,0.3,0.17,0.18,0.27,Vaishali,0,0,0,0,0,0,0.0
38.63,96.84,99.18,97.14,52.95,44.16,Balod,0,1,1,1,1,0,0.6666666666666666
31.23,78.04,99.61,96.29,49.84,89.06,Baloda Bazar,0,1,1,1,0,1,0.6666666666666666
88.95,98.74,99.88,97.88,82.22,96.2,Balrampur,1,1,1,1,1,1,1.0
36.75,90.97,92.5,95.56,21.93,18.83,Bastar,0,1,1,1,0,0,0.5
93.23,91.06,99.9,98.57,62.25,36.95,Bemetara,1,1,1,1,1,0,0.8333333333333334
97.25,96.47,98.79,90.82,88.09,94.71,Bijapur,1,1,1,1,1,1,1.0
74.54,96.48,98.45,93.32,86.97,88.01,Bilaspur,1,1,1,1,1,1,1.0
39.61,89.64,92.59,95.23,88.53,47.49,Dantewada,0,1,1,1,1,0,0.6666666666666666
64.33,98.73,99.75,99.32,69.54,26.57,Dhamtari,1,1,1,1,1,0,0.8333333333333334
68.84,84.13,99.58,97.55,63.75,54.74,Durg,1,1,1,1,1,1,1.0
53.4,89.19,94.29,95.76,80.07,55.91,Gariyaband,1,1,1,1,1,1,1.0
39.6,82.05,95.02,94.06,48.95,88.32,Janjgir-Champa,0,1,1,1,0,1,0.6666666666666666
31.08,64.91,93.67,91.81,74.86,39.35,Jashpur,0,1,1,1,1,0,0.6666666666666666
74.1,95.05,99.22,95.23,99.35,18.39,Kabirdham,1,1,1,1,1,0,0.8333333333333334
12.1,98.47,99.09,99.21,57.79,95.51,Kanker,0,1,1,1,1,1,0.8333333333333334
32.36,80.06,59.83,85.38,39.43,88.4,Kondagaon,0,1,1,1,0,1,0.6666666666666666
16.74,87.46,96.15,92.08,84.69,38.97,Korba,0,1,1,1,1,0,0.6666666666666666
76.44,98.07,95.98,98.87,95.73,58.62,Korea,1,1,1,1,1,1,1.0
77.75,98.64,99.74,99.7,94.72,60.79,Mahasamund,1,1,1,1,1,1,1.0
75.27,83.78,98.42,98.03,95.78,74.73,Mungeli,1,1,1,1,1,1,1.0
54.34,91.47,90.01,94.74,66.24,90.13,Narayanpur,1,1,1,1,1,1,1.0
67.77,99.22,98.38,98.72,97.08,35.89,Raigarh,1,1,1,1,1,0,0.8333333333333334
65.03,98.28,99.73,99.71,78.16,83.21,Raipur,1,1,1,1,1,1,1.0
52.85,77.0,90.06,97.27,51.48,75.2,Rajnandgaon,1,1,1,1,1,1,1.0
7.7,68.53,76.32,96.92,8.42,7.08,Sukma,0,1,1,1,0,0,0.5
72.95,98.58,99.57,99.76,95.55,99.07,Surajpur,1,1,1,1,1,1,1.0
50.76,82.93,95.11,99.05,72.22,83.18,Surguja,1,1,1,1,1,1,1.0
65.2,99.51,100.0,94.79,29.02,57.75,North Goa,1,1,1,1,0,1,0.8333333333333334
85.02,99.66,97.98,98.98,45.9,20.9,South Goa,1,1,1,1,0,0,0.6666666666666666
72.52,82.68,95.38,94.01,40.49,86.34,Ahmadabad,1,1,1,1,0,1,0.8333333333333334
62.5,55.13,88.42,88.35,38.23,83.34,Amreli,1,1,1,1,0,1,0.8333333333333334
63.79,72.95,98.15,98.04,59.01,87.92,Anand,1,1,1,1,1,1,1.0
74.36,78.64,97.76,98.59,67.0,72.19,Aravalli,1,1,1,1,1,1,1.0
