region_key,year,season,avg_temp_mean,avg_temp_sum,avg_temp_std,avg_temp_min,avg_temp_max,lat_first,lon_first
10_75,2015,Kharif,25.894291108654393,802.7230243682861,0.4993079031227609,24.864261627197266,26.828871726989743,10.5,75.5
10_75,2015,Monsoon,25.776304745283284,3144.7091789245605,0.7122573743489393,23.691079139709473,27.589783668518063,10.5,75.5
10_75,2015,Rabi,25.921429058290876,5495.342960357666,1.2341908149614584,23.21978759765625,28.98763370513916,10.5,75.5
10_75,2016,Kharif,25.742827169356808,798.027642250061,0.3884516517267806,24.946446418762207,26.399751663208008,10.5,75.5
10_75,2016,Monsoon,25.242737473034467,3079.613971710205,0.6559002034238708,23.546236991882324,26.70460319519043,10.5,75.5
10_75,2016,Rabi,26.852405610778522,5719.562395095825,1.8295517577813667,23.49769592285156,30.502490043640137,10.5,75.5
10_75,2017,Kharif,25.79820959029659,799.7444972991943,0.5407439162493751,24.374996185302734,26.85482883453369,10.5,75.5
10_75,2017,Monsoon,25.477434814953412,3108.2470474243164,0.7753353778332076,23.357552528381348,26.793705940246586,10.5,75.5
10_75,2017,Rabi,26.340199569486224,5584.122308731079,1.5492285575402946,23.35338020324707,29.319100379943848,10.5,75.5
10_75,2018,Kharif,25.584656100119314,793.1243391036987,0.3802680431767448,24.89365005493164,26.238167762756348,10.5,75.5
10_75,2018,Monsoon,24.976074922280233,3047.0811405181885,0.9618979410972641,22.807032585144043,26.83659076690674,10.5,75.5
10_75,2018,Rabi,26.104987351399547,5534.257318496704,1.2348237778104716,23.08018684387207,28.545366287231445,10.5,75.5
10_75,2019,Kharif,25.40944585492534,787.6928215026855,0.9397618961995685,22.89648723602295,26.65837287902832,10.5,75.5
10_75,2019,Monsoon,25.5539828050332,3117.5859022140503,1.0701938376989424,22.499662399291992,27.95542049407959,10.5,75.5
10_75,2019,Rabi,26.665022269734795,5652.984721183777,1.740382947322538,23.020642280578613,29.73880290985107,10.5,75.5
10_75,2020,Kharif,25.72203851515247,797.3831939697266,0.6183716656608294,24.099595069885257,26.45713901519775,10.5,75.5
10_75,2020,Monsoon,25.36247914736388,3094.2224559783936,0.8108109347721872,22.89394187927246,26.866223335266113,10.5,75.5
10_75,2020,Rabi,26.709198029388283,5689.059180259705,1.369470281137468,23.906808853149418,29.346917152404785,10.5,75.5
10_75,2021,Kharif,25.58662906769783,793.1855010986328,0.45722060399921255,24.47058486938477,26.40428638458252,10.5,75.5
10_75,2021,Monsoon,25.38228982393859,3096.639358520508,0.8883659338704588,23.241734504699707,27.35214614868164,10.5,75.5
10_75,2021,Rabi,26.130261799074567,5539.615501403809,1.334075843880373,23.47891902923584,29.22166347503662,10.5,75.5
10_75,2022,Kharif,25.640022339359408,794.8406925201416,0.419213563368103,24.835277557373047,26.55189323425293,10.5,75.5
10_75,2022,Monsoon,25.191286157389158,3073.336911201477,0.9234996255657711,23.036477088928223,27.296149253845215,10.5,75.5
10_75,2022,Rabi,26.06323636252925,5525.406108856201,1.2172683075519906,23.33238220214844,28.924320220947266,10.5,75.5
10_75,2023,Kharif,26.212532658730783,812.5885124206543,0.5029244296772111,24.78868293762207,27.08683967590332,10.5,75.5
10_75,2023,Monsoon,26.009961073515846,3173.215250968933,0.9716859175224504,23.466819763183594,28.498478889465332,10.5,75.5
10_75,2023,Rabi,26.46587030842619,5610.7645053863525,1.4052263901364175,22.98848056793213,29.44884967803955,10.5,75.5
10_75,2024,Kharif,25.362127334840835,786.2259473800659,0.6828943465744952,24.099668502807617,26.37448501586914,10.5,75.5
10_75,2024,Monsoon,25.05190394354648,3056.332281112671,0.9091640472801293,22.554502487182617,26.78765869140625,10.5,75.5
10_75,2024,Rabi,26.41129556843932,5625.605956077576,1.6421072186629382,23.57316780090332,30.242097854614254,10.5,75.5
10_76,2015,Kharif,24.629985532452984,763.5295515060425,0.42015894818494753,23.63966941833496,25.4171724319458,10.5,76.5
10_76,2015,Monsoon,24.733229457354938,3017.4539937973022,0.6708626115153605,23.117016792297363,26.45165729522705,10.5,76.5
10_76,2015,Rabi,24.430241542042427,5179.211206912994,1.3707557163903399,21.586697101593018,27.7791690826416,10.5,76.5
10_76,2016,Kharif,24.68780286850468,765.321888923645,0.45848705614447055,23.734883308410645,25.38672161102295,10.5,76.5
10_76,2016,Monsoon,24.23788803913554,2957.022340774536,0.6565577181568572,22.25896453857422,25.634438514709473,10.5,76.5
10_76,2016,Rabi,25.453808016620332,5421.661107540131,1.991422666729049,21.46230411529541,29.51294231414795,10.5,76.5
10_76,2017,Kharif,24.497911945466072,759.4352703094482,0.5955097900931208,23.29523468017578,25.730324745178223,10.5,76.5
10_76,2017,Monsoon,24.368162655439534,2972.915843963623,0.7571855572812071,22.095781326293945,25.63047981262207,10.5,76.5
10_76,2017,Rabi,24.94052275396743,5287.390823841095,1.7571489734982537,22.045560836791992,28.287293434143063,10.5,76.5
10_76,2018,Kharif,24.143952984963693,748.4625425338745,0.4664656665333233,23.11714267730713,25.03659152984619,10.5,76.5
10_76,2018,Monsoon,23.908885283548322,2916.8840045928955,0.9019214919675144,21.746068954467773,25.676457405090332,10.5,76.5
10_76,2018,Rabi,24.604788161673635,5216.215090274811,1.3945006380520293,21.537578582763672,27.34186363220215,10.5,76.5
10_76,2019,Kharif,24.085375662772886,746.6466455459595,0.9908484532948051,21.61000347137451,25.3723669052124,10.5,76.5
10_76,2019,Monsoon,24.487596035003662,2987.486716270447,1.0512663725857152,21.52957820892334,27.017823219299316,10.5,76.5
10_76,2019,Rabi,25.239440081254493,5350.761297225952,1.9666826024266497,21.343663692474365,28.503002166748047,10.5,76.5
10_76,2020,Kharif,24.279672191989036,752.6698379516602,0.5462146226367237,22.742186546325684,25.060229301452637,10.5,76.5
10_76,2020,Monsoon,24.194686905282442,2951.751802444458,0.8356323512753734,21.638288497924805,26.031262397766113,10.5,76.5
10_76,2020,Rabi,25.156983939694687,5358.437579154968,1.6446879394444542,21.48344326019287,28.17859363555908,10.5,76.5
10_76,2021,Kharif,24.180575739952825,749.5978479385376,0.49001435828400935,23.274635314941406,25.066944122314453,10.5,76.5
10_76,2021,Monsoon,24.08433927473475,2938.289391517639,0.9057600438504496,21.68447780609131,26.00167465209961,10.5,76.5
10_76,2021,Rabi,24.490016370449425,5191.883470535278,1.5388605844900258,21.49915313720703,28.31080913543701,10.5,76.5
10_76,2022,Kharif,24.0249789145685,744.7743463516235,0.40311131546548346,23.316203117370605,24.78321361541748,10.5,76.5
10_76,2022,Monsoon,23.83131884746864,2907.4208993911743,0.9485952138576085,21.417055130004883,26.185945510864254,10.5,76.5
10_76,2022,Rabi,24.38721301870526,5170.089159965515,1.38422754234099,21.242185592651367,27.44594955444336,10.5,76.5
10_76,2023,Kharif,24.93965555006458,773.129322052002,0.5441876034396793,23.526131629943848,26.06691074371338,10.5,76.5
10_76,2023,Monsoon,24.729027943532977,3016.941409111023,0.968031088263607,22.23460578918457,27.198307037353516,10.5,76.5
10_76,2023,Rabi,24.800429537611187,5257.691061973572,1.5321913415082193,21.236702919006348,27.939351081848145,10.5,76.5
10_76,2024,Kharif,24.662486014827603,764.5370664596558,0.7782299573341532,23.233128547668457,26.112503051757812,10.5,76.5
10_76,2024,Monsoon,24.58853847472394,2999.801693916321,0.8897797438766055,22.090867042541504,25.973539352416992,10.5,76.5
10_76,2024,Rabi,25.715702504619188,5477.444633483887,1.670244500548663,22.657397270202637,29.672622680664062,10.5,76.5
10_77,2015,Kharif,25.929678209366337,803.8200244903564,0.4314598777093419,25.12816619873047,26.715933799743652,10.5,77.5
10_77,2015,Monsoon,27.09040639439567,3305.029580116272,0.6244846071843108,25.06798934936523,28.54441547393799,10.5,77.5
10_77,2015,Rabi,25.44770483250888,5394.913424491882,1.9194573080137258,21.99929428100586,29.634674072265625,10.5,77.5
10_77,2016,Kharif,26.24857924061437,813.7059564590454,0.7226870492303737,24.605368614196777,27.34834098815918,10.5,77.5
10_77,2016,Monsoon,26.6368947732644,3249.701162338257,0.6613257613078467,24.8054723739624,28.05265998840332,10.5,77.5
10_77,2016,Rabi,26.45829332826283,5635.616478919983,2.4755382620886754,21.537567138671875,31.557950973510746,10.5,77.5
10_77,2017,Kharif,26.06264498925978,807.9419946670532,0.7774074011649961,24.449284553527832,27.264787673950195,10.5,77.5
10_77,2017,Monsoon,26.797434025123472,3269.2869510650635,0.862148786903376,23.832279205322266,28.52138900756836,10.5,77.5
10_77,2017,Rabi,26.059363846508962,5524.5851354599,2.435235566214606,22.222670555114743,30.45493221282959,10.5,77.5
10_77,2018,Kharif,25.439890307764852,788.6365995407104,0.5978100192097002,23.938132286071777,26.654011726379395,10.5,77.5
10_77,2018,Monsoon,26.398751696602243,3220.6477069854736,0.7368598381316089,24.301191329956055,28.03801155090332,10.5,77.5
10_77,2018,Rabi,25.69123617658075,5446.54206943512,1.957959617884678,21.968201637268063,29.467644691467285,10.5,77.5
10_77,2019,Kharif,25.415973817148515,787.895188331604,1.0761992914217988,22.90572166442871,26.855419158935547,10.5,77.5
10_77,2019,Monsoon,27.022758014866564,3296.7764778137207,1.1311069484306377,23.766584396362305,29.410541534423828,10.5,77.5
10_77,2019,Rabi,26.410491525002247,5599.024203300476,2.637569088708269,21.973029136657715,30.884756088256836,10.5,77.5
10_77,2020,Kharif,25.780809863921135,799.2051057815552,0.5321232332410354,24.262489318847656,26.79384136199951,10.5,77.5
10_77,2020,Monsoon,26.493565614106224,3232.2150049209595,0.8763035414334175,23.81012535095215,28.334762573242188,10.5,77.5
10_77,2020,Rabi,26.157171244912305,5571.477475166321,2.260394450898051,21.69357204437256,30.04902458190918,10.5,77.5
